dia;Mes;prec mm;Data
1;Janeiro;51,2;2017-01-01
2;Janeiro;44,8;2017-01-02
3;Janeiro;6,8;2017-01-03
4;Janeiro;0,6;2017-01-04
5;Janeiro;4,8;2017-01-05
6;Janeiro;0;2017-01-06
7;Janeiro;0,4;2017-01-07
8;Janeiro;0;2017-01-08
9;Janeiro;0;2017-01-09
10;Janeiro;0,4;2017-01-10
11;Janeiro;0;2017-01-11
12;Janeiro;0;2017-01-12
13;Janeiro;0,3;2017-01-13
14;Janeiro;0;2017-01-14
15;Janeiro;0;2017-01-15
16;Janeiro;0;2017-01-16
17;Janeiro;59,6;2017-01-17
18;Janeiro;6,4;2017-01-18
19;Janeiro;0;2017-01-19
20;Janeiro;19,6;2017-01-20
21;Janeiro;0;2017-01-21
22;Janeiro;1,4;2017-01-22
23;Janeiro;0,6;2017-01-23
24;Janeiro;32,2;2017-01-24
25;Janeiro;12,2;2017-01-25
26;Janeiro;3,6;2017-01-26
27;Janeiro;0;2017-01-27
28;Janeiro;0;2017-01-28
29;Janeiro;11,6;2017-01-29
30;Janeiro;1,8;2017-01-30
31;Janeiro;6,2;2017-01-31
1;Fevereiro;4,6;2017-02-01
2;Fevereiro;0,9;2017-02-02
3;Fevereiro;19,6;2017-02-03
4;Fevereiro;6,3;2017-02-04
5;Fevereiro;3,3;2017-02-05
6;Fevereiro;3,5;2017-02-06
7;Fevereiro;0;2017-02-07
8;Fevereiro;0;2017-02-08
9;Fevereiro;0;2017-02-09
10;Fevereiro;0;2017-02-10
11;Fevereiro;0;2017-02-11
12;Fevereiro;1,8;2017-02-12
13;Fevereiro;21,6;2017-02-13
14;Fevereiro;34,8;2017-02-14
15;Fevereiro;0;2017-02-15
16;Fevereiro;0;2017-02-16
17;Fevereiro;0;2017-02-17
18;Fevereiro;0;2017-02-18
19;Fevereiro;0;2017-02-19
20;Fevereiro;0;2017-02-20
21;Fevereiro;0;2017-02-21
22;Fevereiro;0;2017-02-22
23;Fevereiro;0;2017-02-23
24;Fevereiro;2;2017-02-24
25;Fevereiro;1,1;2017-02-25
26;Fevereiro;2,7;2017-02-26
27;Fevereiro;0;2017-02-27
28;Fevereiro;0;2017-02-28
1;Março;0;2017-03-01
2;Março;3,4;2017-03-02
3;Março;20,5;2017-03-03
4;Março;0;2017-03-04
5;Março;0;2017-03-05
6;Março;26,2;2017-03-06
7;Março;0;2017-03-07
8;Março;0;2017-03-08
9;Março;0;2017-03-09
10;Março;0;2017-03-10
11;Março;2,4;2017-03-11
12;Março;0;2017-03-12
13;Março;7,8;2017-03-13
14;Março;0;2017-03-14
15;Março;0;2017-03-15
16;Março;0;2017-03-16
17;Março;21,6;2017-03-17
18;Março;10,8;2017-03-18
19;Março;0;2017-03-19
20;Março;0;2017-03-20
21;Março;0;2017-03-21
22;Março;0;2017-03-22
23;Março;0;2017-03-23
24;Março;0;2017-03-24
25;Março;0;2017-03-25
26;Março;0;2017-03-26
27;Março;7,2;2017-03-27
28;Março;0;2017-03-28
29;Março;0;2017-03-29
30;Março;0;2017-03-30
31;Março;0;2017-03-31
1;Abril;0;2017-04-01
2;Abril;0;2017-04-02
3;Abril;0;2017-04-03
4;Abril;0;2017-04-04
5;Abril;0,2;2017-04-05
6;Abril;47,4;2017-04-06
7;Abril;4,2;2017-04-07
8;Abril;0;2017-04-08
9;Abril;0;2017-04-09
10;Abril;0;2017-04-10
11;Abril;0;2017-04-11
12;Abril;4;2017-04-12
13;Abril;25,2;2017-04-13
14;Abril;0;2017-04-14
15;Abril;0;2017-04-15
16;Abril;0;2017-04-16
17;Abril;0;2017-04-17
18;Abril;0;2017-04-18
19;Abril;0;2017-04-19
20;Abril;0;2017-04-20
21;Abril;32;2017-04-21
22;Abril;0,8;2017-04-22
23;Abril;0;2017-04-23
24;Abril;0;2017-04-24
25;Abril;0;2017-04-25
26;Abril;19,8;2017-04-26
27;Abril;6;2017-04-27
28;Abril;0;2017-04-28
29;Abril;0;2017-04-29
30;Abril;0;2017-04-30
1;Maio;0;2017-05-01
2;Maio;7,2;2017-05-02
3;Maio;0;2017-05-03
4;Maio;10,2;2017-05-04
5;Maio;40;2017-05-05
6;Maio;0;2017-05-06
7;Maio;0;2017-05-07
8;Maio;0;2017-05-08
9;Maio;0;2017-05-09
10;Maio;0;2017-05-10
11;Maio;0;2017-05-11
12;Maio;0;2017-05-12
13;Maio;0;2017-05-13
14;Maio;6,8;2017-05-14
15;Maio;0;2017-05-15
16;Maio;0;2017-05-16
17;Maio;0;2017-05-17
18;Maio;19,8;2017-05-18
19;Maio;48,2;2017-05-19
20;Maio;48,2;2017-05-20
21;Maio;17,6;2017-05-21
22;Maio;31,6;2017-05-22
23;Maio;0;2017-05-23
24;Maio;0;2017-05-24
25;Maio;0;2017-05-25
26;Maio;0;2017-05-26
27;Maio;0;2017-05-27
28;Maio;0;2017-05-28
29;Maio;0;2017-05-29
30;Maio;0;2017-05-30
31;Maio;0;2017-05-31
1;Junho;8;2017-06-01
2;Junho;0;2017-06-02
3;Junho;0;2017-06-03
4;Junho;0;2017-06-04
5;Junho;0,6;2017-06-05
6;Junho;20,8;2017-06-06
7;Junho;30,6;2017-06-07
8;Junho;0;2017-06-08
9;Junho;10,4;2017-06-09
10;Junho;0;2017-06-10
11;Junho;0;2017-06-11
12;Junho;0,2;2017-06-12
13;Junho;15,2;2017-06-13
14;Junho;13,2;2017-06-14
15;Junho;0;2017-06-15
16;Junho;0;2017-06-16
17;Junho;0;2017-06-17
18;Junho;0;2017-06-18
19;Junho;0;2017-06-19
20;Junho;8,2;2017-06-20
21;Junho;0;2017-06-21
22;Junho;0;2017-06-22
23;Junho;0;2017-06-23
24;Junho;0;2017-06-24
25;Junho;0;2017-06-25
26;Junho;0;2017-06-26
27;Junho;0;2017-06-27
28;Junho;0;2017-06-28
29;Junho;0;2017-06-29
30;Junho;0;2017-06-30
